2,11963,11963,RAFAEL DE MORAES BARROS,M,BRA,[PRO] NIVIUK X-ONE - PRETO BRANCO VERMELHA,Sol CXMAX,NIVIUK BRASIL,FPVL,980,481/904,984,975,999,150,953,984,841,14,976,7332
3,5105,5105,LUCIANO HORN,M,BRA,[PRO] OZONE ENZO 3 - PRETO E AZUL,Sol CXMAX,PRO ESPORTE RS | FAMILIA GEISSE | OZONE BRASIL,FGVL,984,905,993,983,973,221,957,961,500/933,36,941,7292
4,29846,29846,MARCELLA POMARICO UCHOA,F,BRA,[PRO] OZONE ENZO 3 - AZUL ROSA,Ozone Exoceat,"Ozone, Soitic, Prefeitura Municipal de Poços de Caldas, Naviter",FMVL,984,902,954,983,955,787,956,499/929,974,13,969,7274
5,14765,14765,ERICO OLIVEIRA,M,BRA,[PRO] NIVIUK X-ONE - PRETO/VERDE,Woody Valley XR7,ACTIONFLY RIO / NIVIUK BR / CSCVL,FVLERJ,956,482/906,982,972,992,953,983,929,829,11,0,7249
6,125,125,RAFAEL MONTEIRO SALADINI,M,BRA,[PRO] OZONE ENZO 3 - AZUL E LILAS,Sol CXMAX,OZONE | SOL PARAGLIDERS,FVLERJ,220,910,996,591,982,973,992,970,433/823,14,989,7245
7,37074,37074,LUCAS ADRIANO RUDIGER RIBAS,M,BRA,[PRO] NIVIUK X-ONE - LARANJA,Sol CXMAX,TOPSUN ENERGIA SOLAR / RIBAS ELÉTRICA,FCVL,990,904,482/898,604,943,49,956,966,955,15,984,7180
8,5101,5101,RONNIE KOERICH,M,BRA,[PRO] NIVIUK X-ONE - PRETO,Sol CXMAX,WWW.VORTEXPARAGLIDING.COM.BR,FVLP,971,913,466/869,618,958,752,932,925,979,15,967,7111
9,26728,26728,TULIO SUBIRA COUTINHO,M,BRA,[PRO] FLOW SPECTRA 2 - BRANCO,Sol CXMAX,FLOW PARAGLIDER | 4x4 STORE | VOITTO,FMVL,467/877,900,952,612,863,945,946,954,921,13,949,7034
10,10032,10032,DEONIR SPANCERSKI,M,BRA,[PRO] OZONE ENZO 3 - AMARELO,Sol CXMAX,,FVLP,962,892,865,967,944,0,918,958,423/855,36,457,6965
11,9028,9028,GILBERTO FERREIRA RAPOSO,M,BRA,[PRO] OZONE ENZO 3 - AZUL LARANJA,Sol CXMAX,,FMVL,912,894,985,979,872,0,936,31,413/777,8,937,6928
12,32345,32345,MARIO DE QUEIROZ MONTEIRO,M,BRA,[PRO] NIVIUK X-ONE - BRANCA,Advance Impress 4,,FVLERJ,977,865,993,255,928,411/775,0,878,860,8,977,6889
13,12591,12591,SAMUEL NASCIMENTO,M,BRA,[PRO] OZONE ENZO 3 - VERDE AMARELO,Sol CXMAX,CHOPP PALAZZO - SOL PARAGLIDERS - SPOT BRASIL - PILOTO SAFO,FMVL,912,909,876,202/379,201,1000,977,57,993,0,1000,6869
14,15239,15239,ROGERIO SANTOS FELIX,M,BRA,[ASPIRANTE] OZONE ZENO 2 - AMARELO,Sol CXMAX,UV.LINE,FVLERJ,951,878,902,329/611,957,457,925,937,975,13,408,6854
15,2435,2435,WASHINGTON LUIZ PERUCHI,M,BRA,[PRO] NIVIUK X-ONE - AZUL,Sol CXMAX,ISY CONSTRUTORA,FPVL,358/671,889,885,964,22,389,935,961,855,11,980,6827
16,23545,23545,WALTER MORAES DE OLIVEIRA FILHO,M,BRA,[PRO] OZONE ENZO 3 - AZUL ROXO,Ozone Exoceat,Volcanfly,FMVL,988,912,986,600,981,812,879,329/613,908,10,533,6795
17,2356,2356,ALEXANDRE DIO GERMANI,M,BRA,[PRO] NIVIUK X-ONE - AZUL E BRANCO,Sol CXMAX,INNOVA AATB,FPVL,974,901,875,316/590,961,47,936,31,833,13,983,6779
18,23678,23678,LUCILEI DAL POZZO,M,BRA,[ASPIRANTE] OZONE ZENO 2 - AZUL AMARELO PRETO,Woody Valley XR7,PRO ESPORTE RS | FAMILIA GEISSE,FGVL,949,854,382/713,587,915,889,927,970,843,14,469,6729
19,39999,39999,HILTON RONALD ALICE BENKE,M,BRA,[PRO] OZONE ENZO 3 - AZUL ROXO,Gin Genie Race 4,LOJA ALTAMONTANHA,FVLP,827,762,845,595,948,433/804,909,915,875,10,956,6708
20,51737,51737,EMERSON AUGUSTO BUENO DE MIRANDA,M,BRA,[PRO] NIVIUK X-ONE - AZUL,Woody Valley XR7,DOCE LAR SHOP,FPVL,954,895,900,953,955,0,871,207/391,0,14,946,6681
21,7117,7117,MAURICIO MARTINS DE ALBUQUERQUE,M,BRA,[PRO] FLOW SPECTRA 2 -,Woody Valley XR7,CSCVL / Freeflight TV,FVLERJ,445/840,901,872,579,863,885,884,31,850,10,972,6672
22,11976,11976,WESLEI CARVALHO VERONA,M,BRA,[ASPIRANTE] GIN - LEOPARD - VERMELHO,Gin Genie Race 4,W.E.S.CLEAN ESTOFADOS,FPVL,838,522,814,963,916,431/811,208,908,825,10,965,6660
23,39108,39108,RICARDO LUIZ MORITZ,M,BRA,[ASPIRANTE] OZONE ZENO 2 -,Woody Valley XR7,SUOR DO MEU TRABALHO,FCVL,953,896,941,44,853,70,907,992,821,8,255/474,6618
24,32466,32466,PAULO HENRIQUE BULLARA REIS,M,BRA,[PRO] DAVINCI OPERA - AZUL PRETO,Gin Genie Race 3,DAVINCI - BULLARA MANUTENÇÔES,FPVL,390/736,767,950,584,860,766,940,31,940,13,942,6555
25,18150,18150,JARBAS BATISTA DE MELLO,M,BRA,[ASPIRANTE] OZONE ZENO 2 - AZUL,Woody Valley XR7,PRO ESPORTE RS | FAMILIA GEISSE,FGVL,401/751,902,962,769,510,893,879,916,825,0,531,6547
26,40116,40116,CAIO HENRIQUE BUZZARELLO,M,BRA,[PRO] OZONE ENZO 3 - VERDE ROXO,Sol CXMAX,SOL PARAGLIDERS - DICOLORE,FCVL,936,902,976,602,969,957,986,208/392,181,0,0,6536
27,4719,4719,LUIZ CEZAR DIAS,M,BRA,[PRO] NIVIUK X-ONE - AZUL,Gin Genie Race 4,POUSADA PICO DO GAVIÃO,FPVL,894,26,965,320/595,79,898,658,952,864,8,972,6523
28,46030,46030,MAICON DANIEL DE SOUZA CORREA,M,BRA,[PRO] OZONE ENZO 3 - BLACK BLUE,Sol CXMAX,PRO ESPORTE RS/ FAMILIA GEISSE/ @PROFITACADEMIANH,FGVL,902,399/741,802,503,907,781,882,954,814,8,24,6441
29,3048,3048,MOACIR MIOR,M,BRA,[ASPIRANTE] OZONE ZENO 2 - AMARELO AZUL,Sol CXMAX,Eu mesmo,FCVL,953,900,888,263,945,832,896,209/389,776,0,0,6399
30,39913,39913,THIAGO COUTO WERNER,M,BRA,[PRO] FLOW SPECTRA 2 - VERMELHA E BRANCA,Gin Genie Race 3,FLASH NET,FCVL ES,101,873,768,324/668,852,770,906,31,864,30,981,6368
31,15192,15192,THOMAS MILKO,M,BRA,[PRO] GIN BOOMERANG 12 -,Kortel Kanibal Race 2,Clube Pico do Gavião CVLG,FPVL,819,796,788,600,929,391/732,784,31,815,12,972,6294
32,45391,45391,PATRICK AMORIM,M,BRA,[PRO] OZONE ENZO 3 - AZUL,Sol CXMAX,Vortex Paragliding,FVLP,751,897,976,469,865,754,904,99,831,41,263/534,6282
33,12446,12446,DOUGLAS DALLABONA,M,BRA,[PRO] NIVIUK X-ONE - PRETO/VERDE,Gin Genie Race 4,WDF VENDAS / PSICÓLOGA FRANCIELLE HARTMANN,FCVL,929,885,926,579,960,897,927,16/31,0,0,0,6119
34,65218,65218,THALISSON WILLIAN SILVA SOUZA,M,BRA,[ASPIRANTE] DAVINCI XCHORD - BRANCA AZUL LARANJA,Gin Genie Race 4,MARMORARIA POLVILHO LTDA,FPVL,643,782,913,267/500,858,358,910,396,797,10,932,6102
35,3047,3047,JOSE LUIS SUDBRACK GUIMARAES,M,BRA,[PRO] OZONE ENZO 3 - ROXO AZUL,Gin Genie Race 4,QUEM COMPRA COMIGO,FCVL,956,776,496,152,264/490,782,908,947,940,0,0,6069
36,28514,28514,ALBERTO HIROSHI KAWAKAMI,M,BRA,[ASPIRANTE] OZONE ZENO 2 - AMARELO,Gin Genie Race 4,,FPVL,717,768,939,324/602,763,0,819,927,791,22,462,6048
37,23359,23359,EDUARDO VARGAS PEIRAO,M,BRA,[ASPIRANTE] GIN LEOPARD - BRANCO E VINHO,Sol CXMAX,Santa Costa - Mormaii Óculos - Lamon,FCVL,739,729,946,310/579,856,370,754,31,805,8,761,5900
38,12463,12463,EVANDRO LUIS PAULI,M,BRA,[ASPIRANTE] OZONE ZENO 2 - AZUL,Woody Valley XR6,,FMVL,285,743,818,204/385,781,0,767,648,904,11,953,5818
39,37977,37977,SEBASTIAO DE FREITAS EMERICK DUTRA,M,BRA,[PRO] FLOW SPECTRA 2 -,Woody Valley XR7,ADVENTURE PLANET,FMVL,673,805,941,237/443,887,0,798,31,489,14,943,5773
40,497,497,MOKA MOISES SODRE,M,BRA,[PRO] GIN BOOMERANG 12 - VERDE,Sol CXMAX,DEUS É FIEL,FMVL,718,909,943,396,947,73/136,927,53,825,0,0,5738
41,16801,16801,DANIEL GEISSE,M,BRA,[ASPIRANTE] OZONE ZENO 2 - AZUL,Gin Genie Race 4,FAMILIA GEISSE,FGVL,931,795,824,445,910,0,856,200/372,770,0,0,5731
42,24271,24271,JOUBERT BATISTA BITARAES,M,BRA,[PRO] OZONE ENZO 3 - ROXO/AZUL,Woody Valley XR7,JR UNIFORMES,FMVL,818,771,967,441,797,0,912,221/411,725,0,0,5652
43,14805,14805,DANIEL LIMA DE OLIVEIRA,M,BRA,[PRO] GIN BOOMERANG 11 - LARANJA,Sol CXMAX,RENOVA AMBIENTAL,FCVL,860,759,833,580,898,893,799,16/31,0,0,0,5638
44,63891,63891,RODRIGO DE SOUZA ARAUJO FERNANDES,M,BRA,[ASPIRANTE] NIVIUK PEAK 5 - LARANJA / BRANCO / PRETO,Gin Genie Race 4,OFICINA DE PARAPENTE VENTO NORTE / LOJA ALTA MONTANHA,FVLP,667,219/407,661,361,765,56,843,847,721,10,899,5622
45,2371,2371,ROGERIO HONORATO TONOLLI,M,BRA,[PRO] OZONE ENZO 3 - VERMELHO AMAREL,Woody Valley XR7,WWW.SAOBERNARDO.TUR.BR,FCVL,794,667,779,695,851,714,901,217/409,0,0,0,5618
46,17736,17736,FALKO FELIX FISCHER,M,BRA,[ASPIRANTE] OZONE ZENO - BRANCO / CINZA,Woody Valley XR7,,FEPACE,831,873,636,911,780,444,907,216/407,22,8,221,5598
47,18662,18662,ROLAND ZGRAGGEN,M,BRA,[ASPIRANTE] OZONE ZENO 2 - VERDE,Gin Genie Race 4,HOTEL - POUSADA SOL & LUA PARACURU / CE,FEPACE,694,821,637,77,837,243/455,704,31,761,8,876,5573
48,2370,2370,GETULIO DE CARVALHO FILHO,M,BRA,[ASPIRANTE] OZONE ZENO - LARANJA VERMELHO,Gin Genie Race 4,CVLBH,FMVL,780,736,871,604,775,0,766,31,34/69,13,893,5472
49,11949,11949,MARCELO PIO SILVA,M,BRA,[PRO] OZONE ENZO 3 - AMARELO E VERMELHO,Woody Valley XR7,,FPVL,669,789,965,566,822,728,903,0,0,0,0,5442
50,3050,3050,FLAVIO LYSZKOWSKI PINHEIRO,M,BRA,[ASPIRANTE] OZONE - ZENO - VERDE/VIOLETA,Advance Impress 4,PRO ESPORTE RS | FAMILIA GEISSE,FGVL,798,768,819,0,691,686,766,57/108,22,0,853,5438
51,14813,14813,ALEXANDRE VIEIRA MALCHER,M,BRA,[PRO] NIVIUK X-ONE - PRETO VERDE,Gin Genie Race 4,,FVLERJ,126/240,880,433,606,941,0,0,669,759,8,931,5345
52,10036,10036,ADNAR YUSSA FURUZAWA,M,BRA,[ASPIRANTE] OZONE ZENO 2 - AZUL,Advance Impress 4,TELESON TELECOM,FPVL,773,550,810,40/81,748,756,825,31,811,12,76,5325
53,10058,10058,ANDRE LUIZ BECKER,M,BRA,[PRO] NIVIUK X-ONE - AZUL PRETO BRCO,Gin Genie Race 4,"DICOLORE , NIVIUK BRASIL",FCVL,963,905,973,515,77,896,932,16/31,0,0,0,5277
54,42531,42531,PAULO VICTOR THEZA LAVORATO,M,BRA,[ASPIRANTE] OZONE ZENO - VERMELHO/LARANJA,Gin Genie Race 4,RESTAURANTE DA SILVANDA --- FLORICULTURA CAMPO VERDE MONTES CLAROS-MG -- ADVENTURE PLANET,FMVL,447,789,894,354,520,0,851,212/395,782,13,735,5230
55,52950,52950,PABLO VIEIRA TOMáS,M,BRA,[PRO] OZONE ENZO 3 - CINZA E LILAS,Woody Valley XAlpes GTO,ÁREA VERDE - AFVL,FBVL,897,228/426,877,44,825,717,480,109,722,11,481,5227
56,35970,35970,MARCIO DA SILVA,M,BRA,[PRO] OZONE ENZO 2 - AZUL LARANJA,Sol CXMAX,INBRASUL EMPREENDIMENTOS,FCVL,774,662,948,575,906,820,488,31,47/89,0,0,5220
57,130,130,MARK EDUARD BEHLING,M,BRA,[PRO] OZONE ENZO 3 - VERDE AMARELO,Sol CXMAX,MUSEU DO MARCENEIRO - BEHLING,FCVL,504,807,973,369,903,891,754,16/31,0,0,0,5217
58,54916,54916,BRUNO MOREIRA DA SILVA,M,BRA,[ASPIRANTE] FLOW XCRACER - AZUL,Gin Genie Race 3,Tatiane Consultoria,FVLERJ,655,776,827,486,907,696,789,41/78,0,0,0,5177
59,52089,52089,ISABELA GOMES DE LIMA SALES,F,BRA,[PRO] UP GURU - PRETO E LARANJA,Sol CXMAX,QG DO VOO LIVRE / SAFO RIO / UP PARAGLIDERS / PREFEITURA DE SAQUAREMA,FVLERJ,483,767,913,43/87,654,0,794,31,605,12,861,5132
60,48414,48414,MANOEL CANDIDO ALVES JUNIOR,M,BRA,[ASPIRANTE] FLOW XCRACER -,Gin Genie Race 3,Modular Planejados e Padaria Docí Maria,FCVL,61,788,874,471,689,805,225/430,31,463,9,770,5085
61,36433,36433,ENDERSON MOREIRA DO NASCIMENTO,M,BRA,[PRO] OZONE ENZO 3 - AMARELO VERMELH,Woody Valley XR7,,FMVL,115,886,877,668,946,0,826,17/31,749,0,0,5084
62,54961,54961,MARCOS HENRIQUE DIAS DO NASCIMENTO,M,BRA,[PRO] OZONE ENZO 3 - AMARELO AZUL,Woody Valley XR6,TORTA CERTA,FVLERJ,817,559,876,575,710,240,915,214/398,406,8,136,5072
63,12437,12437,GUSTAVO AGNE DE OLIVEIRA,M,BRA,[PRO] OZONE ENZO 3 - VERMELHO,Gin Genie Race 2,GUSTAVOAGNE.COM.BR | VIVAAVENTURA.COM.BR | PARQUE NINHO DAS ÁGUIAS,FGVL RS,953,846,78,962,495,805,901,0,0,0,0,5040
64,10136,10136,RICHARD BRYAN PETHIGAL,M,BRA,[PRO] FLOW PARAGLIDERS - SPECTRA - AZUL,Sol CXMAX,"PAZ MUNDIAL, AVAAZ.ORG, TIRANTE A, BASE",FCVL SC,0,899,885,625,847,799,909,0,0,0,0,4964
65,28826,28826,LUIS CARLOS FAGUNDES FILHO,M,BRA,[ASPIRANTE] OZONE ZENO - BRANCO AZUL,Woody Valley XR6,SERRA DIESEL,FGVL,955,854,802,84,493,832,116/220,406,22,0,469,4927
66,14184,14184,MATEUS FARIA TIBURCIO,M,BRA,[ASPIRANTE] OZONE - ZENO - AMARELO / VERDE,Sol X-light 2,LM ENGENHARIA,FMVL MG,794,768,859,140,767,812,768,0,0,0,0,4908
67,15401,15401,ROGERIO VAZ DA SILVA,M,BRA,[PRO] OZONE ENZO 3 - VERMELHO AMAREL,Woody Valley XR7,VAZ REPRESENTAÇÕES LTDA,FCVL,654,418,820,44,766,180/335,791,485,792,13,19,4906
68,31310,31310,DANIEL MAYALL MORAIS DE ARAUJO,M,BRA,[ASPIRANTE] NIVIUK PEAK 5 - AZUL E PRETO,Supair Skype 2,ECCO - ENERGY CONSULTING COMPANY,FVLERJ,969,892,856,572,493,40,891,16/31,0,0,0,4729
69,12447,12447,EDERSON SOUZA DUTRA,M,BRA,[PRO] OZONE ENZO 3 - AZUL VERMELHO,Woody Valley XR7,JESUS CRISTO,FMVL MG,936,894,780,180,946,117,820,0,0,0,0,4673
70,4712,4712,CRISTIANO RICCI DA SILVA,M,BRA,[PRO] FLOW SPECTRA 2 - AZUL,Sol CXMAX,"NAFAR, SMEL, BLACK BIRD, NAVITER BRASIL",FMVL,343,488,505,69,168/312,862,973,865,465,8,73,4669
71,122,122,LEONARDO SILVEIRA MACHADO,M,BRA,[PRO] OZONE - ENZO3 - AZUL/LILáS,Ozone Exoceat,BIGNET/NATUOEL/DROGARIA MONTE HOREBE,FMVL MG,951,900,912,52,920,0,835,0,0,0,0,4570
72,12617,12617,MARCELO WICKERT,M,BRA,[PRO] OZONE - ENZO 3 - VERMELHO AMAREL,Ozone Exoceat,CTF,FGVL RS,958,901,983,585,46,56,897,0,0,0,0,4426
73,19283,19283,MARCIO TAVARES,M,BRA,[PRO] NIVIUK - X-ONE - PRETO-BRANCO-AMARELO,Sol CXMAX,MJV CONFECÇÕES,FCVL SC,753,387,929,163,590,848,738,0,0,0,0,4408
74,48199,48199,RAQUEL PEREIRA CANDIDO VENCESLAU,F,BRA,"[PRO] NIVIUK X-ONE - ROXO, LARANJA E BRANCO",Sol CXMAX,NIVIUK BRASIL | VORTEX PARAGLIDING,FVLP,657,773,524,604,103,0,764,31,28/57,13,928,4394
75,55480,55480,RAPHAEL DE FREITAS ESTEVES DIAS,M,BRA,[ASPIRANTE] FLOW XC RACE - VERMELHO E LARANJA,Gin Genie Race 2,,FVLERJ,703,421,809,382,686,442,898,16/31,0,0,0,4357
76,24492,24492,MICHEL DE ALMEIDA PINHEIRO,M,BRA,[ASPIRANTE] FLOW PARAGLIDERS - XCRACER - BRANCA VERDE,,ADVENTURE PLANET - FLOW PARAGLIDERS,FCVL ES,914,470,895,497,656,47,753,0,0,0,0,4232
77,58409,58409,ANDRE TOMAZ FERNANDES DA SILVA,M,BRA,[PRO] OZONE ENZO 3 - AZUL AMARELO,Woody Valley XR7,TOMFER Construtora,FPVL,663,424,25,22/44,597,801,658,31,97,10,938,4210
78,52777,52777,ANDRE ABRANTES,M,BRA,[PRO] OZONE ENZO 3 -,Sol CXMAX,AGROMASTER,FPVL,424,473,842,568,756,20/41,256,31,0,13,854,4206
79,48546,48546,CLODOALDO DONIZETI DE SOUZA,M,BRA,[ASPIRANTE] DAVINCI XCHORD - BRC ROXO LARANJ,Gin Genie Race 4,MARMORARIA POLVILHO,FPVL,47/98,769,108,570,622,419,753,31,0,9,879,4176
80,37014,37014,RANEY MODENEZE DE FREITAS,M,BRA,[PRO] OZONE ENZO 3 - BRANCO AZUL,Woody Valley XR6,UP SOLUÇÕES - MONJOLO TEAM,FCVL ES,416,781,820,426,76,772,852,0,0,0,0,4143
81,920,920,ANDRE LUIZ PEREIRA E SOUZA,M,BRA,[PRO] FLOW SPECTRA - VERMELHO/BRANCO/AZUL,Kortel Kanibal Race 2,ADVENTURE PLANET / FLOW PARAGLIDERS,FVLERJ,623,400,877,455,126/236,470,468,31,682,8,135,4101
82,65653,65653,ARTHUR GRANDINI RODELLA,M,BRA,[ASPIRANTE] OZONE ZENO 2 - VERMELHO AMAREL,Sol CXMAX,,FVLP,150/306,473,292,44,346,394,560,403,838,13,898,4075
83,37484,37484,JOAO LUIZ MARQUES COSTA,M,BRA,[PRO] OZONE - ENZO 3 - AZUL/BRANCO,Gin Genie Race 3,Marido Resolve - PC Costa Climatizadores,FMVL MG,0,752,784,976,469,247,650,0,0,0,0,3878
84,47849,47849,ALESSANDRO TIECHER DOS SANTOS,M,BRA,[ASPIRANTE] GIN LEOPARD - VERMELHO,Gin Genie Race 4,GIN TEAM - TOP FLY PARAGLIDING,FGVL,205,798,72,271,804,890,830,0,0,0,0,3870
85,51115,51115,JOSE GERONIMO COIMBRA JUNIOR,M,BRA,[PRO] OZONE ENZO 3 - AZUL CINZA,Gin Genie Race 4,NAÇÃO DAS ASAS - ESCOLA DE PARAPENTE,FMVL,693,391,658,466,171,692,98/201,31,438,11,322,3769
86,56675,56675,EMERSON SOUZA DUTRA,M,BRA,[ASPIRANTE] OZONE - ZENO - ROXO,Ozone Exoceat,,FMVL MG,0,883,869,170,758,0,891,0,0,0,0,3571
87,40463,40463,GUILHERME BRASIL NASCIMENTO,M,BRA,[ASPIRANTE] FLOW PARAGLIDERS - XCRACER - AZUL E PRETO,Kortel Kanibal Race 2,LADO AVENTUREIRO,FGVL RS,417,422,771,614,501,0,810,0,0,0,0,3535
88,52223,52223,LUCAS BECKER AXELRUD,M,BRA,[ASPIRANTE] OZONE DELTA 4 - AZUL VERMELHO,Gin Genie Race 4,PRO ESPORTE RS | FAMILIA GEISSE,FGVL,829,770,820,0,22,258,812,0,0,0,0,3511
89,47227,47227,EUMACIO VERSIANE MATOS,M,BRA,[ASPIRANTE] OZONE ZENO 2 - AZUL,Woody Valley XR7,EU MESMO,FCVL,324,746,879,327,0,24,0,433,767,0,0,3500
90,33612,33612,ANDRE MARTINS GONCALVES,M,BRA,[ASPIRANTE] OZONE - ZENO - VERMELHO E LARANJA,Gin Genie Race 3,ANDRECLEAN.COM,FPVL SP,658,777,524,609,621,307,0,0,0,0,0,3496
91,3992,3992,FABIO KOGUT,M,BRA,"[ASPIRANTE] UP MERU - VERDE , BRANCO",Advance Impress 4,,FVLERJ,918,528,386,584,633,0,425,0,0,0,0,3474
92,6001,6001,CARLOS ROBERTO DE NIEMEYER SALLES,M,BRA,[ASPIRANTE] GIN - LEOPARD - BRANCA E VERMELHA,Woody Valley XR7,AEROS,FVLERJ,711,707,720,455,822,0,0,31,0,0,0,3446
93,24308,24308,ALDO FROES NORONHA,M,BRA,[ASPIRANTE] OZONE ZENO - LARANJA/VERMELHO,Woody Valley XR6,MIRANTE VÓ COTINHA,FMVL,692,419,840,149,773,0,571,0,0,0,0,3444
94,23274,23274,MAURO AUGUSTO CABERLON,M,BRA,[ASPIRANTE] OZONE ZENO 2 - AZUL,Woody Valley XR7,OZONE BR,FGVL,695,801,532,0,0,881,464,31,22,0,0,3426
95,38482,38482,MARCOS CEZAR MONTI RAUPP,M,BRA,[ASPIRANTE] OZONE ZENO - YELLOW/BLACK,Kortel Kanibal Race 2,PRO ESPORTE RS | FAMILIA GEISSE,FGVL,163,581,423,44,694,351,98/187,452,402,0,424,3425
96,36833,36833,HENRIQUE JOSE TOLEDO,M,BRA,[ASPIRANTE] GIN BONANZA 2 - BRANCO E VERMELHO,Woody Valley XR7,WWW.FORDIESEL.COM.BR,FPVL,98/199,362,566,175,659,0,573,365,349,10,408,3390
97,15078,15078,DRAUZIO JOSE MACHADO JUNIOR,M,BRA,[PRO] OZONE ENZO 3 - AMARELO VERMELH,Gin Genie Race 4,GIE SEGUROS,FVLERJ,248,769,406,101,716,261,800,0,0,0,0,3301
98,44114,44114,GILBERTO FOSS JR,M,BRA,[PRO] OZONE ENZO 3 - AZUL-ROXO,Woody Valley XR6,FOSS & FOSS MÓVEIS,FGVL,390,807,773,44,328,0,882,0,0,0,0,3224
99,32998,32998,STEFANO PARENTI FILHO,M,BRA,[ASPIRANTE] OZONE ZENO 2 - VERMELHO,Gin Genie Race 4,ATHIVE Saúde e Movimento – ASPARTEC Energia Solar,FPVL,12/25,136,612,44,298,24,562,623,22,13,891,3191
100,11966,11966,RICARDO JOSE BIGELI,M,BRA,[ASPIRANTE] OZONE ZENO - VERMELHO AZUL,Gin Genie Race 4,,FPVL,262,429,903,589,549,221,198,0,0,0,0,3151
101,46361,46361,JOAO BATISTA MONT GOMERY CARVALHO LAZARONE,M,BRA,[ASPIRANTE] OZOE ZENO - LARANJA VERMELH,Woody Valley XR7,ESCOLA KITESURF VITORIA,FCVL,0,429,885,617,217,725,205,31,12/22,0,0,3121
102,13574,13574,MARCOS ANTONIO ALVES LINHARES,M,BRA,[PRO] GIN BOOMERANG 11 - LARANJA,Gin Genie Race 1,ESCOLA AMANTES DO AR E TRANSPORTADORA CR,FPVL,370,487,738,44,554,594,12/25,0,0,8,295,3102
103,44155,44155,FRONZIO CALHEIRA MOTA,M,BRA,[ASPIRANTE] OZONE ZENO 2 - AZUL,Advance Impress 4,,FCVL,344,26,420,44,563,414,679,17/31,602,0,0,3083
104,39620,39620,ULISSES MORGENSTERN RUSSO,M,BRA,[ASPIRANTE] TRIPLE SEVEN QUEEN 2 - BRANCO AZUL VERDE,Sol X-light 2,,FVLERJ,378,430,746,74,224,225,468,31,99/203,13,266,2849
105,18379,18379,VANTUIL MATAVELI VIEIRA,M,BRA,[ASPIRANTE] OZONE ZENO - VERMELHO LARANJ,Gin Genie Race 4,"CONECTIVA SISTEMAS, X-VARIO - FLIGHT INSTRUMENT",FCVL,0,431,736,44,677,0,167,371,347,0,0,2773
106,24576,24576,JOVANI BORGHI,M,BRA,[ASPIRANTE] OZONE - ZENO - VERMELHO-AZUL,Woody Valley XAlpes GTO,WWW.VOANDOLIVRE.COM,FCVL ES,436,26,572,540,645,78,441,0,0,0,0,2738
107,4729,4729,MARTINHO RIBEIRO MORAIS,M,BRA,[PRO] NIVIUK X-ONE - LARANJA,Woody Valley XR7,ART CON BLOCOS/ILDEMARI TECIDOS,FMVL,0,0,0,0,0,0,0,628,920,11,972,2531
